Case_Num,System_mod,Api_Name,Api_Num,Test_purpose,Test_Level,Api_Url,Method,Parameters,Expect,Sql,DB
case_001,登录页面,登录页面,1,正确验证,H,sso/login/normal,POST,account=test_ff7&password=123456&isRemember=true&service=100&client=201,"\""msg\"":\""成功\""",,
case_002,登录,文化云状态,2,正确验证,H,/cultural-cloud/user/cloud/login,POST,cloudId=54020b1c87a046ad94893b4b61e797ad,"\""msg\"":\""成功\""",,
case_003,登录,文化云登录状态,3,正确验证,H,/cultural-cloud/user/cloud/login/status,GET,,"\""msg\"":\""成功\""",,
case_004,登录,获取用户拥有的专有云,4,正确验证,H,/cultural-cloud/user/clouds,GET,,"\""msg\"":\""成功\""",,
case_005,登录,退出登录,5,正确验证,H,/cultural-cloud/user/logout,POST,,"\""msg\"":\""成功\""",,
case_006,,,6,正确验证,H,,,,,,
case_007,,,7,正确验证,H,,,,,,
case_008,,,8,正确验证,H,,,,,,
case_009,,,9,正确验证,H,,,,,,
case_010,,,10,正确验证,H,,,,,,
case_011,,,11,正确验证,H,,,,,,
case_012,,,12,正确验证,H,,,,,,
case_013,,,13,正确验证,H,,,,,,
case_014,,,14,正确验证,H,,,,,,
